Timestamp,Distance,Category
305902,200.0,0
306103,200.0,0
306304,42.3,0
306507,44.35,0
306708,100.39,0
306909,49.92,0
307110,57.42,0
307311,200.0,0
307512,200.0,0
307713,200.0,0
307914,56.87,0
308115,200.0,0
308316,113.08,0
308517,107.69,1
308718,106.22,1
308919,103.62,1
309120,99.82,1
309321,91.8,1
309522,80.0,1
309723,67.1,1
309924,65.76,1
310126,65.73,1
310327,63.14,1
310528,58.76,1
310729,47.16,1
310930,49.15,1
311131,44.77,1
311332,36.5,1
311533,34.66,1
311734,31.92,1
311935,42.17,1
312136,43.44,0
312338,53.13,0
312539,59.28,0
312740,66.92,0
312941,75.9,0
313142,96.03,0
313343,96.73,0
313544,130.42,0
313747,124.35,0
313948,200.0,0
314149,200.0,0
314350,200.0,0
314551,81.85,0
314763,200.0,0
314964,200.0,0
315165,200.0,0
315366,200.0,0
315567,200.0,0
315780,200.0,0
315981,200.0,0
316182,200.0,0
316383,200.0,0
316584,200.0,0
316785,200.0,0
316986,200.0,0
317187,200.0,0
317388,200.0,0
317589,200.0,0
317790,200.0,0
317991,200.0,0
318192,200.0,1
318393,200.0,1
318604,76.58,1
318805,138.86,1
319006,114.31,1
319207,81.12,1
319408,58.68,1
319609,43.2,1
319810,18.1,1
320011,31.66,1
320212,26.26,1
320414,23.82,1
320615,35.97,1
320816,27.45,1
321017,36.53,1
321218,200.0,1
321419,18.09,1
321620,18.78,1
321821,17.48,1
322022,22.96,1
322224,26.83,1
322425,29.27,1
322626,24.53,1
322827,30.29,1
323028,29.78,1
323229,200.0,1
323430,29.27,1
323631,26.69,1
323832,18.9,1
324033,36.63,1
324234,19.01,1
324435,200.0,1
324636,200.0,1
324837,20.37,1
325038,43.66,1
325239,50.75,0
325440,56.92,0
325641,68.2,0
325842,76.21,0
326043,87.87,0
326244,100.43,0
326445,112.71,0
326646,129.54,0
326847,137.27,0
327048,146.96,0
327249,152.38,0
327450,136.43,0
327651,129.51,1
327852,112.77,1
328053,95.78,1
328254,77.54,1
328455,74.74,1
328656,62.06,1
328857,46.71,1
329058,37.21,1
329259,39.14,1
329460,40.52,1
329661,38.37,1
329862,29.79,1
330063,30.04,1
330264,32.87,1
330465,33.13,1
330666,33.12,1
330867,30.66,1
331068,43.43,1
331269,49.56,1
331470,54.88,1
331671,60.09,0
331872,70.24,0
332073,86.71,0
332279,99.44,0
332480,110.45,0
332681,119.18,0
332882,136.02,0
333083,147.6,0
333284,162.57,0
333485,200.0,0
333686,200.0,0
333887,200.0,0
334088,200.0,0
334291,200.0,0
334492,200.0,0
334693,200.0,0
334894,200.0,0
335095,200.0,0
335296,200.0,0
335497,200.0,0
335698,200.0,0
335899,82.94,0
336100,154.76,0
336301,139.43,0
336502,124.14,0
336703,112.53,0
336904,93.58,0
337105,59.19,0
337306,44.37,1
337507,40.04,1
337708,40.25,1
337909,36.19,1
338110,35.18,1
338311,31.46,1
338512,26.55,1
338713,15.9,1
338914,26.12,1
339115,28.64,1
339316,40.63,1
339517,29.31,1
339718,15.67,1
339919,32.87,1
340122,31.07,1
340323,31.08,1
340524,35.5,1
340725,35.44,1
340926,35.58,1
341127,36.52,1
341328,27.88,1
341529,25.25,1
341730,29.89,1
341931,28.69,1
342132,25.85,1
342333,28.33,1
342534,40.63,1
342735,49.3,0
342936,51.76,0
343137,56.0,0
343338,66.27,0
343539,77.17,0
343740,90.43,0
343941,107.33,0
344142,113.22,0
344343,115.75,0
344544,132.97,0
344745,136.92,0
344946,149.88,0
345147,200.0,0
345348,200.0,0
345549,200.0,0
345750,200.0,0
345951,200.0,0
346157,200.0,0
346358,200.0,0
346559,200.0,0
346760,200.0,0
346961,200.0,0
347162,200.0,0
347363,200.0,0
347564,200.0,0
347765,200.0,0
347966,200.0,0
348167,200.0,0
348368,82.07,0
348569,155.29,0
348770,152.12,0
348976,75.86,0
349177,152.88,0
349378,161.58,0
349579,200.0,0
349780,70.6,0
349988,200.0,0
350189,200.0,0
350390,65.23,0
350591,129.44,0
350792,127.84,0
350993,62.21,0
351194,121.09,0
351395,92.35,0
351596,76.35,1
351797,61.42,1
351998,45.82,1
352199,32.49,1
352400,35.2,1
352601,14.86,1
352802,11.58,1
353003,9.68,1
353204,13.12,1
353414,12.05,1
353615,13.67,1
353816,8.02,1
354017,19.12,1
354218,17.99,1
354419,30.17,1
354620,31.47,1
354821,39.96,1
355022,49.43,1
355224,59.55,1
355426,71.26,0
355627,79.65,0
355828,89.03,0
356029,49.16,0
356230,121.18,0
356431,128.31,0
356632,200.0,0
356833,200.0,0
357034,153.68,0
357235,200.0,0
357437,200.0,0
357638,200.0,0
357839,200.0,0
358040,200.0,0
358241,200.0,0
358454,200.0,0
358655,200.0,0
358856,200.0,0
359057,200.0,0
359258,200.0,0
359459,200.0,0
359660,200.0,0
359861,200.0,0
360062,200.0,0
360263,200.0,0
360464,200.0,0
360665,200.0,0
360866,200.0,0
361067,200.0,0
361279,200.0,0
361480,200.0,0
361681,75.9,0
361882,79.68,0
362083,74.18,0
362288,138.0,0
362489,131.53,0
362690,127.84,0
362891,121.45,0
363092,118.07,0
363293,92.22,0
363494,79.54,0
363695,67.37,0
363896,59.63,0
364097,49.23,0
364298,43.61,0
364499,35.84,0
364700,28.25,0
364901,25.69,0
365102,23.83,0
365303,23.5,0
365504,15.79,0
365705,31.84,0
365916,16.18,0
366117,34.68,0
366318,36.76,0
366519,34.8,0
366720,37.44,0
366921,47.33,0
367122,48.92,0
367323,36.76,0
367524,49.74,0
367725,43.1,0
367926,42.36,0
368129,45.57,0
368330,200.0,0
368531,41.68,0
368732,34.03,0
