Timestamp,Distance,Category
1833393,200.0,0
1833594,200.0,0
1833807,200.0,0
1834008,200.0,0
1834209,200.0,0
1834410,200.0,0
1834611,200.0,0
1834824,200.0,0
1835025,200.0,0
1835226,200.0,0
1835427,200.0,0
1835628,200.0,0
1835841,200.0,0
1836042,200.0,0
1836243,200.0,0
1836444,200.0,0
1836645,200.0,0
1836858,200.0,0
1837059,200.0,0
1837260,200.0,0
1837461,200.0,0
1837662,200.0,0
1837863,200.0,0
1838064,200.0,0
1838265,200.0,0
1838466,200.0,0
1838667,200.0,0
1838868,200.0,0
1839069,200.0,0
1839270,200.0,0
1839471,200.0,0
1839683,200.0,0
1839884,200.0,0
1840085,200.0,0
1840286,200.0,0
1840487,200.0,0
1840688,200.0,0
1840889,200.0,0
1841090,200.0,0
1841291,200.0,0
1841492,200.0,0
1841693,158.08,0
1841894,149.07,0
1842095,129.96,0
1842296,98.08,1
1842497,78.14,1
1842698,61.12,1
1842903,40.91,1
1843104,28.14,1
1843305,26.73,1
1843506,20.01,1
1843707,19.86,1
1843908,26.95,1
1844109,26.11,1
1844310,33.18,1
1844511,38.36,1
1844712,47.55,1
1844913,59.68,0
1845114,76.13,0
1845321,94.31,0
1845522,112.54,0
1845723,122.53,0
1845924,130.08,0
1846125,144.24,0
1846326,154.27,0
1846527,200.0,0
1846728,200.0,0
1846929,200.0,0
1847130,200.0,0
1847334,200.0,0
1847535,200.0,0
1847736,200.0,0
1847937,200.0,0
1848138,200.0,0
1848339,200.0,0
1848540,200.0,0
1848741,200.0,0
1848942,200.0,0
1849143,200.0,0
1849344,200.0,0
1849545,200.0,0
1849746,200.0,0
1849947,200.0,0
1850159,200.0,0
1850360,200.0,0
1850561,200.0,0
1850762,200.0,0
1850963,80.86,0
1851172,152.89,0
1851374,140.51,0
1851575,132.64,0
1851776,124.47,0
1851977,116.71,0
1852178,109.27,0
1852380,116.71,0
1852581,100.61,0
1852782,102.33,0
1852983,59.84,0
1853184,126.65,0
1853385,62.19,0
1853594,135.47,0
1853795,137.6,0
1853996,142.87,0
1854197,153.23,0
1854398,200.0,0
1854603,200.0,0
1854804,200.0,0
1855005,200.0,0
1855206,200.0,0
1855407,200.0,0
1855620,200.0,0
1855821,200.0,0
1856022,200.0,0
